,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,247824155.4708345,15742.431688618963,15742.431688618963,0.028409223971622165,0.028409223971622165,0.0
1,60 days 00:00:00.000000000,314483245.3206413,17733.675460000988,17733.675460000988,0.03197198201430596,0.03197198201430596,0.0
2,90 days 00:00:00.000000000,382533423.7037209,19558.461690626922,19558.461690626922,0.03522111576633908,0.03522111576633908,0.0
3,121 days 00:00:00.000000000,442891075.36091775,21044.977437880938,21044.977437880938,0.037837136416787764,0.037837136416787764,0.0
4,152 days 00:00:00.000000000,482277233.170246,21960.811304918723,21960.811304918723,0.03938671501629166,0.03938671501629166,0.0
5,182 days 00:00:00.000000000,504610983.74602646,22463.547888657893,22463.547888657893,0.04015004359087364,0.04015004359087364,0.0
6,213 days 00:00:00.000000000,514373763.63424796,22679.809603130445,22679.809603130445,0.04039182824981602,0.04039182824981602,0.0
7,243 days 00:00:00.000000000,539659540.1745287,23230.57339315,23230.57339315,0.041223824747437104,0.041223824747437104,0.0
8,274 days 00:00:00.000000000,548224566.4086939,23414.19583092048,23414.19583092048,0.04133621422290099,0.04133621422290099,0.0
9,305 days 00:00:00.000000000,550296175.266744,23458.392427162267,23458.392427162267,0.04116858061708362,0.04116858061708362,0.0
10,334 days 00:00:00.000000000,464389977.3736026,21549.70944986504,21549.70944986504,0.03754468304345144,0.03754468304345144,0.0
11,365 days 00:00:00.000000000,415390087.2596062,20381.120853859,20381.120853859,0.035245173689418555,0.035245173689418555,0.0
