,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,8307137.316965614,2882.2104914397933,2882.2104914397933,0.011821107015613194,0.011821107015613194,0.0
1,60 days 00:00:00.000000000,13962002.241953524,3736.576272733306,3736.576272733306,0.015299415603051656,0.015299415603051656,0.0
2,90 days 00:00:00.000000000,21063432.63346015,4589.491544110322,4589.491544110322,0.018751446530435957,0.018751446530435957,0.0
3,121 days 00:00:00.000000000,27652569.457779225,5258.571047136211,5258.571047136211,0.0214298797690821,0.0214298797690821,0.0
4,152 days 00:00:00.000000000,33727342.19350595,5807.524618415831,5807.524618415831,0.02360820752538997,0.02360820752538997,0.0
5,182 days 00:00:00.000000000,40395951.85126834,6355.780978862342,6355.780978862342,0.025770301416127437,0.025770301416127437,0.0
6,213 days 00:00:00.000000000,47477938.74339656,6890.423698394501,6890.423698394501,0.027857541888433163,0.027857541888433163,0.0
7,243 days 00:00:00.000000000,54112357.76501443,7356.110233337618,7356.110233337618,0.029649420737909733,0.029649420737909733,0.0
8,274 days 00:00:00.000000000,64263798.22143153,8016.4704341394245,8016.4704341394245,0.032217303060944134,0.032217303060944134,0.0
9,305 days 00:00:00.000000000,72037237.81176943,8487.475349700253,8487.475349700253,0.03398170827774898,0.03398170827774898,0.0
10,334 days 00:00:00.000000000,68629888.21723524,8284.315796566138,8284.315796566138,0.03300774081132093,0.03300774081132093,0.0
11,365 days 00:00:00.000000000,69754943.59015933,8351.942504002247,8351.942504002247,0.03310203957846231,0.03310203957846231,0.0
