,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,3859069.8656458273,1964.4515432165354,1964.4515432165354,0.009692475469545462,0.009692475469545462,0.0
1,60 days 00:00:00.000000000,4144039.387781844,2035.6913783237978,2035.6913783237978,0.010031841527691774,0.010031841527691774,0.0
2,90 days 00:00:00.000000000,5631273.426983803,2373.0304311120417,2373.0304311120417,0.011680713686451145,0.011680713686451145,0.0
3,121 days 00:00:00.000000000,6820576.92744865,2611.6234275730967,2611.6234275730967,0.01283617959270757,0.01283617959270757,0.0
4,152 days 00:00:00.000000000,9539945.781422706,3088.6802653273626,3088.6802653273626,0.01516452569903162,0.01516452569903162,0.0
5,182 days 00:00:00.000000000,12968178.870364688,3601.1357750527386,3601.1357750527386,0.017670990318628864,0.017670990318628864,0.0
6,213 days 00:00:00.000000000,16693732.475801086,4085.796431027993,4085.796431027993,0.020043151488977156,0.020043151488977156,0.0
7,243 days 00:00:00.000000000,20460096.743684117,4523.2838451377465,4523.2838451377465,0.022183072896652625,0.022183072896652625,0.0
8,274 days 00:00:00.000000000,25055609.21290597,5005.557832340564,5005.557832340564,0.024530073961033454,0.024530073961033454,0.0
9,305 days 00:00:00.000000000,31316403.48496315,5596.1061002239,5596.1061002239,0.027391342719228887,0.027391342719228887,0.0
10,334 days 00:00:00.000000000,34117863.434023544,5841.049857176666,5841.049857176666,0.028558820386436343,0.028558820386436343,0.0
11,365 days 00:00:00.000000000,41800131.01340622,6465.302082146372,6465.302082146372,0.031562847319828606,0.031562847319828606,0.0
