,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,23801317.44416096,4878.659390053886,4878.659390053886,0.015148246419323937,0.015148246419323937,0.0
1,60 days 00:00:00.000000000,22541078.84565665,4747.744606195309,4747.744606195309,0.014703042052700014,0.014703042052700014,0.0
2,90 days 00:00:00.000000000,18742691.960285522,4329.283076940745,4329.283076940745,0.013381892435477298,0.013381892435477298,0.0
3,121 days 00:00:00.000000000,13935798.051862907,3733.0681820538593,3733.0681820538593,0.011520428658445,0.011520428658445,0.0
4,152 days 00:00:00.000000000,10064156.102613742,3172.405412713473,3172.405412713473,0.009776348121447507,0.009776348121447507,0.0
5,182 days 00:00:00.000000000,6614667.588049914,2571.8996069150744,2571.8996069150744,0.007915899843692039,0.007915899843692039,0.0
6,213 days 00:00:00.000000000,4366022.30632977,2089.5028849776136,2089.5028849776136,0.006421908790204454,0.006421908790204454,1.0
7,243 days 00:00:00.000000000,3268437.575570988,1807.882069044048,1807.882069044048,0.005546926651972227,0.005546926651972227,1.0
8,274 days 00:00:00.000000000,2594366.9452327187,1610.7038663990097,1610.7038663990097,0.004931038085263587,0.004931038085263587,1.0
9,305 days 00:00:00.000000000,1609837.2799741891,1268.7936317519052,1268.7936317519052,0.003875835874119945,0.003875835874119945,1.0
10,334 days 00:00:00.000000000,1140820.8313592558,1068.0921455376665,1068.0921455376665,0.003255376074860078,0.003255376074860078,1.0
11,365 days 00:00:00.000000000,534638.8338942734,731.1900121680228,731.1900121680228,0.002224646118128201,0.002224646118128201,1.0
