,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,10398682.668405015,3224.6988492578676,3224.6988492578676,0.01686646189266106,0.01686646189266106,0.0
1,60 days 00:00:00.000000000,9902954.981289515,3146.896086827386,3146.896086827386,0.016416075905743396,0.016416075905743396,0.0
2,90 days 00:00:00.000000000,11190154.807912974,3345.1688758436358,3345.1688758436358,0.017383189697634218,0.017383189697634218,0.0
3,121 days 00:00:00.000000000,12651088.970404444,3556.8369333446317,3556.8369333446317,0.018409938475505594,0.018409938475505594,0.0
4,152 days 00:00:00.000000000,14482796.578113116,3805.6269625533605,3805.6269625533605,0.019622196821538894,0.019622196821538894,0.0
5,182 days 00:00:00.000000000,15605696.493123356,3950.4045986611745,3950.4045986611745,0.020299291903011052,0.020299291903011052,0.0
6,213 days 00:00:00.000000000,17145272.10054959,4140.684979631944,4140.684979631944,0.021203183943713035,0.021203183943713035,0.0
7,243 days 00:00:00.000000000,18782565.669275697,4333.885747141438,4333.885747141438,0.022120916644419796,0.022120916644419796,0.0
8,274 days 00:00:00.000000000,20116032.589681182,4485.090031390806,4485.090031390806,0.02281849879876272,0.02281849879876272,0.0
9,305 days 00:00:00.000000000,20080794.855373092,4481.159989932639,4481.159989932639,0.022731658270977662,0.022731658270977662,0.0
10,334 days 00:00:00.000000000,21049496.67137772,4587.973046060506,4587.973046060506,0.023202635072498576,0.023202635072498576,0.0
11,365 days 00:00:00.000000000,22448951.024541304,4738.032400115189,4738.032400115189,0.023883980502352537,0.023883980502352537,0.0
