,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1996-01-31,97391.69101792805,96468.34123910728,98057.5512112986,97391.69101792805,97391.69101792805,-117.85084961221995,-117.85084961221995,-117.85084961221995,-117.85084961221995,-117.85084961221995,-117.85084961221995,0.0,0.0,0.0,97273.84016831583
1,1996-02-29,97505.41121238294,96586.83915231423,98168.21817935375,97505.41121238294,97505.41121238294,-151.81892454204223,-151.81892454204223,-151.81892454204223,-151.81892454204223,-151.81892454204223,-151.81892454204223,0.0,0.0,0.0,97353.5922878409
2,1996-03-31,97626.97417886922,96726.73983405306,98340.2325057821,97626.97417886922,97626.97417886922,-104.26661776269874,-104.26661776269874,-104.26661776269874,-104.26661776269874,-104.26661776269874,-104.26661776269874,0.0,0.0,0.0,97522.70756110652
3,1996-04-30,97744.61575933981,97146.50647424639,98863.85309821283,97744.61575933981,97744.61575933981,299.6299953209584,299.6299953209584,299.6299953209584,299.6299953209584,299.6299953209584,299.6299953209584,0.0,0.0,0.0,98044.24575466076
4,1996-05-31,97866.17872582609,97274.812639657,98917.06802109408,97866.17872582609,97866.17872582609,245.4275534612315,245.4275534612315,245.4275534612315,245.4275534612315,245.4275534612315,245.4275534612315,0.0,0.0,0.0,98111.60627928731
5,1996-06-30,97983.82030629668,97366.75579011597,98864.90495844037,97983.82030629668,97983.82030629668,168.4090069030764,168.4090069030764,168.4090069030764,168.4090069030764,168.4090069030764,168.4090069030764,0.0,0.0,0.0,98152.22931319976
6,1996-07-31,98105.38327278294,97461.70881555098,98945.92239169094,98105.38327278294,98105.38327278294,112.06790414803775,112.06790414803775,112.06790414803775,112.06790414803775,112.06790414803775,112.06790414803775,0.0,0.0,0.0,98217.45117693098
7,1996-08-31,98226.94623926922,97416.82076753883,99070.92433976695,98226.94623926922,98226.94623926922,27.012558936929842,27.012558936929842,27.012558936929842,27.012558936929842,27.012558936929842,27.012558936929842,0.0,0.0,0.0,98253.95879820615
8,1996-09-30,98344.58781973981,97492.25861880051,99171.65724272572,98344.58781973981,98344.58781973981,-11.634550876977928,-11.634550876977928,-11.634550876977928,-11.634550876977928,-11.634550876977928,-11.634550876977928,0.0,0.0,0.0,98332.95326886284
9,1996-10-31,98466.15078622608,97639.22347747567,99256.7350329314,98466.15078622608,98466.15078622608,-17.31643523248789,-17.31643523248789,-17.31643523248789,-17.31643523248789,-17.31643523248789,-17.31643523248789,0.0,0.0,0.0,98448.8343509936
