,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,1487694.5703511788,1219.710855223966,1219.710855223966,0.005938887291293407,0.005938887291293407,0.0
1,60 days 00:00:00.000000000,3043131.8696416942,1744.4574714339396,1744.4574714339396,0.008474699025149943,0.008474699025149943,0.0
2,90 days 00:00:00.000000000,4641893.714294583,2154.505445408431,2154.505445408431,0.010437332300220571,0.010437332300220571,0.0
3,121 days 00:00:00.000000000,5874414.883677746,2423.7192254214897,2423.7192254214897,0.011704321661885028,0.011704321661885028,0.0
4,152 days 00:00:00.000000000,7261824.248183536,2694.7772167998482,2694.7772167998482,0.012974435200939091,0.012974435200939091,0.0
5,182 days 00:00:00.000000000,8243355.767400247,2871.1244778658147,2871.1244778658147,0.01377831115205785,0.01377831115205785,0.0
6,213 days 00:00:00.000000000,11305931.173559837,3362.4293559210782,3362.4293559210782,0.016098577339051914,0.016098577339051914,0.0
7,243 days 00:00:00.000000000,14188519.852388745,3766.7651708579797,3766.7651708579797,0.017991981060470483,0.017991981060470483,0.0
8,274 days 00:00:00.000000000,19759888.163430307,4445.209574747889,4445.209574747889,0.021195622677283317,0.021195622677283317,0.0
9,305 days 00:00:00.000000000,25346019.068772294,5034.482999154163,5034.482999154163,0.023955020836842478,0.023955020836842478,0.0
10,334 days 00:00:00.000000000,29953562.375940822,5472.98477760909,5472.98477760909,0.02598869266782099,0.02598869266782099,0.0
11,365 days 00:00:00.000000000,34982045.01975291,5914.56211563907,5914.56211563907,0.028004688069730773,0.028004688069730773,0.0
