,horizon,mse,rmse,mae,mape,mdape,coverage
0,29 days 00:00:00.000000000,87104438.39679016,9332.975859648956,9332.975859648956,0.02320042920693493,0.02320042920693493,0.0
1,60 days 00:00:00.000000000,123575690.03417447,11116.460319462058,11116.460319462058,0.027575989143364045,0.027575989143364045,0.0
2,90 days 00:00:00.000000000,152489551.69845057,12348.665988617984,12348.665988617984,0.030528977202447488,0.030528977202447488,0.0
3,121 days 00:00:00.000000000,168320388.42691326,12973.83476181631,12973.83476181631,0.03192867701720319,0.03192867701720319,0.0
4,152 days 00:00:00.000000000,180925451.73868206,13450.853197425138,13450.853197425138,0.03293419747861283,0.03293419747861283,0.0
5,182 days 00:00:00.000000000,196396052.7676119,14014.137603420764,14014.137603420764,0.034144180887391004,0.034144180887391004,0.0
6,213 days 00:00:00.000000000,213629260.06944907,14616.061715436517,14616.061715436517,0.035433478181294026,0.035433478181294026,0.0
7,243 days 00:00:00.000000000,209401355.10338455,14470.70679349784,14470.70679349784,0.034869172996380336,0.034869172996380336,0.0
8,274 days 00:00:00.000000000,197401236.00971192,14049.955018067209,14049.955018067209,0.03360959878399175,0.03360959878399175,0.0
9,305 days 00:00:00.000000000,188030182.843347,13712.409811675956,13712.409811675956,0.032544761503004595,0.032544761503004595,0.0
10,334 days 00:00:00.000000000,155263385.05959082,12460.472906739567,12460.472906739567,0.029324969774162924,0.029324969774162924,0.0
11,365 days 00:00:00.000000000,135945283.48525587,11659.557602467423,11659.557602467423,0.027185046264053343,0.027185046264053343,0.0
