Date,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY
1/31/1996,162238,97631,139108,100595,139112,96300,92098,90643,102841,109754,162226,121528,140993,153060,109862,108148,91256,82885,149713,99427,103478,139383,82380,97056,83464,75941,130798,63950,149422,80496,73297,68742,76315,158790,157071,,61171,83534,124193,246670,98862,106348,126677,,131960,84389,125190,,108750,166900,
2/29/1996,162008,97656,138793,100691,138861,96233,92209,90966,103000,109967,161928,121466,140998,153050,109872,108454,91437,83090,149694,99576,103315,139842,82480,97193,83778,76096,131281,64047,149224,80662,73296,68773,76461,158930,157039,,61176,83858,124003,245772,98499,106046,126771,,131905,84783,125611,,108738,166140,
3/31/1996,161859,97684,138607,100803,138544,96166,92355,91276,103162,110158,161712,121467,141021,153162,109445,108807,91658,83256,149688,99682,103252,140220,82562,97244,84016,76224,131701,64201,149452,80807,73370,68849,76615,159207,157188,,61178,84070,123928,244994,98271,105841,126766,,131845,84745,125886,,108650,165469,
4/30/1996,161569,97811,138327,101013,138172,96057,92659,91942,103513,110554,161304,121432,141078,153367,109129,109447,92089,83577,149719,99989,103194,140986,82683,97472,84525,76515,132549,64457,149607,81107,73463,68958,76876,159702,157332,,61189,84528,123746,243409,97758,105510,126770,,131703,84802,126559,,108515,164321,
5/31/1996,161373,97948,138224,101215,137661,95958,92975,92599,103865,110946,160982,121372,141200,153604,109017,110046,92539,83837,149836,100349,103283,141663,82750,97639,84821,76769,133373,64726,149721,81346,73612,69085,77050,160351,157600,,61193,84854,123618,241560,97377,105492,126606,,131818,84595,127077,,108331,163420,
6/30/1996,161219,98064,138158,101444,137359,95911,93266,93271,104240,111388,160690,121295,141529,153859,109315,110586,93000,84069,149929,100847,103522,142340,82852,97908,85099,77029,134211,64924,149785,81571,73745,69200,77214,160885,157752,,61205,85232,123456,239536,96989,105666,126337,,132086,84617,127687,,108054,162780,
7/31/1996,161124,98152,138078,101665,136935,95877,93524,93878,104588,111857,160483,121235,141919,154230,109511,111081,93475,84278,149970,101340,103778,143004,82988,98073,85272,77288,135050,65125,149852,81748,73929,69352,77346,161387,158001,,61208,85612,123306,237500,96708,105970,126093,,132546,84647,128238,,107740,162229,
8/31/1996,161108,98273,137996,101863,137399,95916,93812,94442,104939,112317,160424,121282,142391,154726,109339,111541,93937,84509,149929,101810,104162,143684,83196,98277,85599,77558,135850,65294,150089,81932,74071,69519,77544,161795,158454,,61188,86004,123268,236165,96511,106221,126021,,132920,84671,128678,,107498,161771,
9/30/1996,161134,98427,137959,101993,138103,95943,94111,94960,105282,112720,160463,121393,142779,155196,109211,111980,94335,84769,149971,102215,104497,144334,83325,98377,85897,77825,136612,65451,149964,82098,74195,69680,77709,162238,158955,,61117,86355,123269,235011,96427,106442,126204,,133390,84726,129035,,107392,161471,
10/31/1996,161286,98607,137978,102128,139559,96025,94413,95475,105655,113196,160561,121556,143255,155763,108301,112427,94697,85095,150049,102625,104911,144951,83452,98589,86292,78058,137454,65595,149839,82381,74474,69860,77939,162661,159424,,61078,86744,123335,233810,96473,106687,126384,,133825,84750,129175,,107507,161054,
11/30/1996,161466,98823,138035,102280,140748,96126,94712,96040,106045,113726,160638,121688,143828,156314,107427,112839,95075,85410,150158,103058,105342,145560,83550,98813,86604,78364,138332,65782,149602,82759,74809,70014,78176,163188,159664,,61106,87205,123415,232342,96509,106975,126504,,134158,85043,129344,,107698,160884,
12/31/1996,161723,99062,138139,102471,141653,96259,95022,96658,106467,114294,160743,121821,144480,156911,106246,113225,95467,85697,150271,103494,105801,146167,83734,99098,87010,78685,139236,66019,149667,83192,75149,70212,78428,163699,160043,,61190,87575,123591,231082,96539,107380,126552,,134329,85203,129512,,107974,160667,
1/31/1997,161740,99086,138115,102480,141961,96358,95320,97307,106808,114847,160992,121890,145022,157053,105703,113563,95797,85885,150209,103897,106194,146764,83843,99372,87409,79001,140062,66210,149291,83380,75276,70418,78664,164121,160398,,61531,87913,123925,230265,96939,107810,126696,,134483,85519,129565,,108263,160593,
2/28/1997,161821,99088,138394,102546,141960,96463,95620,97903,107199,115392,161360,122036,145599,157301,105095,113934,96171,86004,150175,104247,106708,147265,83967,99694,87760,79233,140853,66415,149407,83445,75367,70711,78911,164459,160929,,61881,88151,124422,229585,97536,108429,126674,,134797,85454,129672,,108348,160830,
3/31/1997,161987,99078,138698,102627,142094,96623,95903,98524,107618,115986,161814,122133,146250,157494,105015,114227,96556,86144,150109,104663,107296,147810,84087,100097,88023,79467,141727,66554,148922,83431,75482,70963,79146,164662,161233,,62270,88593,124857,228500,98151,109090,126732,,135283,85492,129865,,108422,161316,
4/30/1997,162455,99210,139067,102932,141975,96840,96192,99074,108121,116547,162194,122305,147154,158042,104616,114550,97011,86345,150190,105006,107943,148445,84422,100430,88287,79680,142614,66770,148969,83480,75684,71266,79402,164966,161765,,62457,89072,125228,227068,98485,109725,126771,,135899,85595,130174,,108348,161906,
5/31/1997,163017,99303,139199,103215,142120,97105,96490,99655,108592,117070,162627,122436,148086,158662,104184,114889,97408,86626,150198,105386,108436,149171,84846,100792,88679,79958,143440,66964,148882,83608,75909,71498,79749,165314,162154,,62603,89639,125652,225929,98744,110104,127188,,136254,86245,130795,,108537,162051,
6/30/1997,163607,99432,139366,103463,141925,97351,96820,100156,109019,117501,163134,122593,148737,159349,103989,115228,97752,86923,150301,105596,108831,149839,85267,101103,89069,80245,144180,67255,148976,83741,76079,71700,80081,165842,162543,,62724,90062,126255,225210,99101,110299,127682,,136404,86697,131067,,108946,162058,
7/31/1997,164330,99565,139670,103704,141675,97621,97173,100747,109482,117886,163645,122796,149338,159983,104069,115563,98085,87241,150505,105836,109252,150408,85603,101564,89498,80567,144852,67539,149151,83931,76144,71814,80482,166374,162777,,62805,90436,126897,224653,99428,110430,128130,,136381,87216,131473,,109510,162225,
8/31/1997,165102,99732,139972,103958,139664,97755,97478,101411,109991,118362,164058,122956,149791,160655,104541,115889,98421,87539,150774,106053,109659,150968,85905,102038,89856,80873,145524,67864,149170,84084,76279,71949,80789,166841,162785,,62970,90824,127394,223694,99675,110697,128314,,136477,87582,131906,,109840,162233,
9/30/1997,165966,99910,140266,104253,137160,97917,97769,102144,110550,118931,164408,123157,150342,161418,104335,116265,98840,87838,150892,106339,110119,151589,86291,102738,90285,81191,146190,68197,149680,84253,76498,72148,81132,167233,162933,,63144,91251,127824,222821,99884,111142,128217,,136422,88338,132585,,110084,162105,
10/31/1997,166744,100153,140486,104517,133448,98017,98036,102876,111086,119379,164724,123297,150912,162218,105148,116629,99263,88040,151008,106660,110579,152315,86725,103387,90605,81543,146638,68552,150123,84277,77012,72351,81366,167690,163102,,63380,91599,128192,222350,99941,111715,128195,,136441,89097,133421,,110089,161975,
